Group,Organization,Model,Name,Metadata,Catalog,NCML,FTP,Contact,EMAIL,Summary
inundation_tropical,NOAA Meteorological Development Lab,SLOSH,Hurricane_Ike_final_run_egm3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/MDL_SLOSH/Hurricane_Ike_final_run_egm3/readme.txt,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/MDL_SLOSH/Hurricane_Ike_final_run_egm3/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.MDL_SLOSH.Hurricane_Ike_final_run_egm3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/MDL_SLOSH/Hurricane_Ike_final_run_egm3/,Arthur Taylor,ftp://comt.sura.org/comt_1_archive/inundation_tropical/MDL_SLOSH/Hurricane_Ike_final_run_egm3/,A hindcast of Hurricane Ike (2008) using SLOSH on the egm3 mesh with SLOSH's internal wind model.
inundation_tropical,NOAA Meteorological Development Lab,SLOSH,Hurricane_Rita_final_run_egm3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/MDL_SLOSH/Hurricane_Rita_final_run_egm3/readme.txt,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/MDL_SLOSH/Hurricane_Rita_final_run_egm3/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.MDL_SLOSH.Hurricane_Rita_final_run_egm3,ftp://comt.sura.org/comt_1_archive/inundation_tropical/MDL_SLOSH/Hurricane_Rita_final_run_egm3/,Arthur Taylor,ftp://comt.sura.org/comt_1_archive/inundation_tropical/MDL_SLOSH/Hurricane_Rita_final_run_egm3/,A hindcast of Hurricane Rita (2005) using SLOSH on the egm3 mesh with SLOSH's internal wind model.
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_final_run_with_waves,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_with_waves/Model_Metadata_Ike.ULLR2D.wva.e4.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_with_waves/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_final_run_with_waves,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_with_waves/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_with_waves/,A 2D hindcast of Hurricane Ike (2008) using SWAN+ADCIRC on the ULLR mesh (includes waves).
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_final_run_without_waves,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_without_waves/Model_Metadata_Ike.ULLR2D.ha.e4.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_without_waves/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_final_run_without_waves,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_without_waves/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_final_run_without_waves/,A 2D hindcast of Hurricane Ike (2008) using ADCIRC on the ULLR mesh (does not include waves).
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_preliminary_run_1_spinup,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_1_spinup/Model_Metadata_Ike.ULLR2D.sa.e4.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_1_spinup/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_preliminary_run_1_spinup,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_1_spinup/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_1_spinup/,A 2D spinup of Hurricane Ike (2008) using ADCIRC on the ULLR mesh.
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_preliminary_run_2_spinup_without_advection_implicit_1s,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_2_spinup_without_advection_implicit_1s/Model_Metadata_Ike.ULLR2D.s.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_2_spinup_without_advection_implicit_1s/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_preliminary_run_2_spinup_without_advection_implicit_1s,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_2_spinup_without_advection_implicit_1s/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_2_spinup_without_advection_implicit_1s/,A 2D spinup of Hurricane Ike (2008) using ADCIRC on the ULLR mesh without advection (implicit time step).
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_preliminary_run_3_spinup_with_levees,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_3_spinup_with_levees/Model_Metadata_Ike.UL2D.sa.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_3_spinup_with_levees/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_preliminary_run_3_spinup_with_levees,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_3_spinup_with_levees/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_3_spinup_with_levees/,A 2D spinup of Hurricane Ike (2008) using ADCIRC on the UL mesh (levees included).
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_preliminary_run_4_spinup_with_levees_and_river_flow,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_4_spinup_with_levees_and_river_flow/Model_Metadata_Ike.UL2D.sa.f.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_4_spinup_with_levees_and_river_flow/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_preliminary_run_4_spinup_with_levees_and_river_flow,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_4_spinup_with_levees_and_river_flow/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_4_spinup_with_levees_and_river_flow/,A 2D spinup of Hurricane Ike (2008) using ADCIRC on the UL mesh with river flow (levees included and river flux Atchafalaya and Mississippi River boundary conditions).
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_preliminary_run_5_tides_only,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_5_tides_only/Model_Metadata_Ike.ULLR2D.t.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_5_tides_only/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_preliminary_run_5_tides_only,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_5_tides_only/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_5_tides_only/,A 2D hindcast of Hurricane Ike (2008) using ADCIRC on the ULLR mesh without meteorological forcing (tides only).
inundation_tropical,University of Notre Dame,ADCIRC,Hurricane_Ike_2D_preliminary_run_6_without_waves_and_advection_implicit_1s,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_6_without_waves_and_advection_implicit_1s/Model_Metadata_Ike.ULLR2D.h.docx,http://comt.sura.org/thredds/catalog/comt_1_archive_full/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_6_without_waves_and_advection_implicit_1s/catalog.html,http://comt.sura.org/thredds/comt_1_archive_summary.html?dataset=inundation_tropical.UND_ADCIRC.Hurricane_Ike_2D_preliminary_run_6_without_waves_and_advection_implicit_1s,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_6_without_waves_and_advection_implicit_1s/,Patrick Corbitt Kerr,ftp://comt.sura.org/comt_1_archive/inundation_tropical/UND_ADCIRC/Hurricane_Ike_2D_preliminary_run_6_without_waves_and_advection_implicit_1s/,A 2D hindcast of Hurricane Ike (2008) using ADCIRC on the ULLR mesh without advection (implicit time step and does not include waves).
